,feature,importance
181,system_avg_price_lag24,0.22807044
179,western_avg_price_lag24,0.15237002
111,DA_LMP_WEST_HUB_LAG24,0.13728598
372,hours_since_spike,0.09265148
84,PJM_WESTERN_HUB_DA_LMP_LAG24,0.0832083
56,is_holiday,0.034975562
349,price_lag_24h,0.032515854
96,PJM_AEP_DAYTON_HUB_DA_LMP_LAG24,0.027639164
189,GAS_M3_lag1d,0.011666797
30,GAS_Transco_Z5,0.008977295
29,GAS_Transco_Z6,0.00831842
157,nyiso_load_change_24h,0.0065277824
227,capacity_utilization,0.006037226
26,GAS_M3,0.005799815
239,capacity_stress_score,0.005657151
226,capacity_margin,0.005439114
347,days_to_holiday,0.0054333443
90,PJM_DOMINION_HUB_DA_LMP_LAG24,0.003944963
245,OS_OPERATING_RESERVE_RTO_change_pct_24h,0.0034037053
330,stress_level_low,0.0033181782
0,TEMP_F_Washington_DC,0.0033022126
167,load_percentile_24h,0.0029870626
299,OS_CALC_RESERVE_EKPC_change_24h,0.0029668612
331,stress_level_medium,0.0025744082
108,PJM_BGE_DA_LMP_LAG24,0.0025660144
168,load_percentile_168h,0.0020496286
28,GAS_Chicago_Citygate,0.001978369
64,heating_degrees,0.0019476437
171,load_vs_historical_peak,0.0019320191
76,dewpoint_avg_c,0.0018736088
185,GAS_Henry_Hub_lag1d,0.0018282472
193,GAS_Chicago_Citygate_lag1d,0.0017384678
60,temp_avg,0.0016803835
209,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change_pct,0.001661443
14,DEWPOINT_Baltimore,0.0015883852
27,GAS_TCO,0.0015227401
329,system_stress_score,0.0014989183
244,OS_OPERATING_RESERVE_RTO_change_24h,0.0014552686
175,net_load,0.001300338
113,DA_LMP_WEST_HUB_LAG168,0.0012975478
35,PJM_DOMINION_LOAD_FORECAST,0.0012692821
24,GAS_Henry_Hub,0.0012416608
150,max_zonal_load_forecast,0.0011646192
211,OS_UNSCHED_STM_CAP_DOMINION_lag48,0.0011081689
12,DEWPOINT_Washington_DC,0.0011030451
77,dewpoint_avg_f,0.0010782351
86,PJM_WESTERN_HUB_DA_LMP_LAG168,0.0010383396
165,morning_ramp,0.0010356011
353,price_lag_336h,0.0010045905
17,DEWPOINT_Atlanta,0.0009873351
368,price_ma168,0.00096515106
151,min_zonal_load_forecast,0.0009638483
208,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change,0.000952198
191,GAS_TCO_lag1d,0.0009319141
92,PJM_DOMINION_HUB_DA_LMP_LAG168,0.0009216623
160,miso_load_change_24h,0.000909049
204,OS_UNSCHED_STM_CAP_RTO_wow_change_pct,0.00089520955
25,GAS_Dom_South,0.0008912671
195,OS_TOTAL_SCHED_CAP_RTO_lag24,0.00082639226
279,OS_CALC_RESERVE_DAYTON_change_24h,0.00082160597
351,price_lag_72h,0.0008092089
61,temp_max,0.0007875337
370,price_ma336,0.00076873763
52,month_cos,0.00076171936
15,DEWPOINT_Dayton,0.00076032954
54,day_cos,0.00075617817
69,temp_change_24h,0.00074177934
251,OS_CALC_RESERVE_MIDATLANTIC_lag24,0.0007345775
280,OS_CALC_RESERVE_DAYTON_change_pct_24h,0.00072899036
336,load_vs_daily_peak,0.00071882084
33,PJM_AEP_LOAD_FORECAST,0.00071585336
98,PJM_AEP_DAYTON_HUB_DA_LMP_LAG168,0.00071532285
187,GAS_Dom_South_lag1d,0.00068226754
203,OS_UNSCHED_STM_CAP_RTO_wow_change,0.00065328815
194,GAS_Chicago_Citygate_lag7d,0.00064483855
186,GAS_Henry_Hub_lag7d,0.0006370101
301,reserve_margin_pct,0.00063578243
341,temp_load_interaction,0.000628764
16,DEWPOINT_Richmond,0.0006151554
260,OS_CALC_RESERVE_AEP_change_pct_24h,0.00061241427
201,OS_UNSCHED_STM_CAP_RTO_lag48,0.0005671736
4,TEMP_F_Richmond,0.0005622251
273,OS_CALC_RESERVE_COMED_lag168,0.00055131374
5,TEMP_F_Atlanta,0.00052564836
247,OS_CALC_RESERVE_RTO_lag48,0.0005254768
