,feature,importance
181,system_avg_price_lag24,0.24692711
179,western_avg_price_lag24,0.14719832
84,PJM_WESTERN_HUB_DA_LMP_LAG24,0.10482155
111,DA_LMP_WEST_HUB_LAG24,0.09734653
372,hours_since_spike,0.09684246
56,is_holiday,0.04124342
96,PJM_AEP_DAYTON_HUB_DA_LMP_LAG24,0.028566336
30,GAS_Transco_Z5,0.012312858
189,GAS_M3_lag1d,0.010982791
64,heating_degrees,0.009597503
171,load_vs_historical_peak,0.009212163
239,capacity_stress_score,0.0076744757
157,nyiso_load_change_24h,0.0073677637
26,GAS_M3,0.006928124
29,GAS_Transco_Z6,0.006654325
227,capacity_utilization,0.006054195
226,capacity_margin,0.0055091293
245,OS_OPERATING_RESERVE_RTO_change_pct_24h,0.0042411643
330,stress_level_low,0.003430832
167,load_percentile_24h,0.0033200642
347,days_to_holiday,0.003102949
299,OS_CALC_RESERVE_EKPC_change_24h,0.0028743972
331,stress_level_medium,0.0028582248
55,is_weekend,0.0025439225
193,GAS_Chicago_Citygate_lag1d,0.002376551
209,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change_pct,0.0023708462
185,GAS_Henry_Hub_lag1d,0.0022209755
168,load_percentile_168h,0.0022199568
0,TEMP_F_Washington_DC,0.0021610027
150,max_zonal_load_forecast,0.0020152682
28,GAS_Chicago_Citygate,0.0020069585
60,temp_avg,0.0019519588
90,PJM_DOMINION_HUB_DA_LMP_LAG24,0.001872845
190,GAS_M3_lag7d,0.001509707
160,miso_load_change_24h,0.0014676343
27,GAS_TCO,0.0014497162
244,OS_OPERATING_RESERVE_RTO_change_24h,0.0013494951
86,PJM_WESTERN_HUB_DA_LMP_LAG168,0.0012558476
252,OS_CALC_RESERVE_MIDATLANTIC_lag48,0.0012362975
14,DEWPOINT_Baltimore,0.0012263574
301,reserve_margin_pct,0.0011587273
24,GAS_Henry_Hub,0.0011578997
165,morning_ramp,0.0011435242
110,PJM_BGE_DA_LMP_LAG168,0.0011386164
25,GAS_Dom_South,0.0011150766
204,OS_UNSCHED_STM_CAP_RTO_wow_change_pct,0.0011138404
195,OS_TOTAL_SCHED_CAP_RTO_lag24,0.001067257
329,system_stress_score,0.0010185122
353,price_lag_336h,0.0010107526
191,GAS_TCO_lag1d,0.0010053577
291,OS_CALC_RESERVE_DUQUESNE_lag24,0.000999901
35,PJM_DOMINION_LOAD_FORECAST,0.0009903931
75,cloudy_day,0.00095054443
175,net_load,0.0008485769
92,PJM_DOMINION_HUB_DA_LMP_LAG168,0.00083945936
351,price_lag_72h,0.0008305481
368,price_ma168,0.0008292731
280,OS_CALC_RESERVE_DAYTON_change_pct_24h,0.00082611566
260,OS_CALC_RESERVE_AEP_change_pct_24h,0.0008213636
288,OS_CALC_RESERVE_DOMINION_lag168,0.00081422384
187,GAS_Dom_South_lag1d,0.0007913724
69,temp_change_24h,0.00079120696
205,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag24,0.0007858323
4,TEMP_F_Richmond,0.0007805404
370,price_ma336,0.000773022
61,temp_max,0.0007665067
173,capacity_stress,0.00075792446
211,OS_UNSCHED_STM_CAP_DOMINION_lag48,0.00074525183
76,dewpoint_avg_c,0.00073934416
341,temp_load_interaction,0.00071871
203,OS_UNSCHED_STM_CAP_RTO_wow_change,0.00071354787
77,dewpoint_avg_f,0.0006875417
108,PJM_BGE_DA_LMP_LAG24,0.0006867615
364,price_ma48,0.0006741731
336,load_vs_daily_peak,0.00065698527
16,DEWPOINT_Richmond,0.0006367039
33,PJM_AEP_LOAD_FORECAST,0.0006181699
359,system_stress_score_lag24,0.00061304175
279,OS_CALC_RESERVE_DAYTON_change_24h,0.0006089712
3,TEMP_F_Dayton,0.00059331785
52,month_cos,0.0005930275
340,regional_load_concentration,0.00059148436
273,OS_CALC_RESERVE_COMED_lag168,0.00058953976
390,PJM_DOMINION_HUB_DACONG_std7d,0.0005678413
208,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change,0.0005602413
247,OS_CALC_RESERVE_RTO_lag48,0.0005527966
2,TEMP_F_Baltimore,0.0005308734
217,OS_UNSCHED_STM_CAP_COMED_lag168,0.00051987445
152,eastern_load_forecast,0.0005169293
362,price_ma24,0.00051603955
177,net_load_ramp_3h,0.00048902124
318,EKPC_reserve_stress,0.000484388
214,OS_UNSCHED_STM_CAP_DOMINION_wow_change_pct,0.00047622446
349,price_lag_24h,0.0004739948
289,OS_CALC_RESERVE_DOMINION_change_24h,0.0004566031
31,PJM_RTO_LOAD_FORECAST_DA,0.0004550877
162,load_ramp_2h,0.0004528085
290,OS_CALC_RESERVE_DOMINION_change_pct_24h,0.00045256942
249,OS_CALC_RESERVE_RTO_change_24h,0.00044689642
316,DOMINION_reserve_stress,0.00044683312
172,reserve_margin_proxy,0.00043570646
12,DEWPOINT_Washington_DC,0.00042608386
54,day_cos,0.00042354854
196,OS_TOTAL_SCHED_CAP_RTO_lag48,0.0004106457
194,GAS_Chicago_Citygate_lag7d,0.0004099812
17,DEWPOINT_Atlanta,0.0004070338
72,heating_degrees_lag24,0.00040377618
272,OS_CALC_RESERVE_COMED_lag48,0.00039899035
155,nyiso_pjm_load_ratio,0.0003925436
200,OS_UNSCHED_STM_CAP_RTO_lag24,0.00038660123
128,comed_load_share_forecast,0.00038416506
5,TEMP_F_Atlanta,0.00038198923
151,min_zonal_load_forecast,0.0003812655
259,OS_CALC_RESERVE_AEP_change_24h,0.0003800058
262,OS_CALC_RESERVE_AP_lag48,0.000376459
286,OS_CALC_RESERVE_DOMINION_lag24,0.00037109887
99,PJM_N_ILLINOIS_HUB_DA_LMP_LAG24,0.00037027337
41,PJM_SOLARFCST_HOURLY,0.00036911058
98,PJM_AEP_DAYTON_HUB_DA_LMP_LAG168,0.00036484303
337,is_daily_peak_hour,0.00036413185
101,PJM_N_ILLINOIS_HUB_DA_LMP_LAG168,0.0003630044
220,OS_UNSCHED_STM_CAP_AEP_lag24,0.00036261242
234,regional_unsched_total_lag24,0.00036215564
391,PJM_PSEG_DACONG_lag24,0.00036041654
251,OS_CALC_RESERVE_MIDATLANTIC_lag24,0.000357665
49,hour_sin,0.00035652818
265,OS_CALC_RESERVE_AP_change_pct_24h,0.00035480937
383,PJM_EASTERN_HUB_DACONG_ma7d,0.00035240158
174,total_renewable,0.00034782902
344,week_of_year,0.00034706155
176,net_load_ramp_1h,0.00034448353
225,total_available_capacity_lag24,0.00034415952
395,PJM_PSEG_DACONG_ma7d,0.00033911454
327,reserve_volatility_168h,0.00033218844
312,ATSI_reserve_stress,0.00032954628
37,PJM_BGE_LOAD_FORECAST,0.00032876187
210,OS_UNSCHED_STM_CAP_DOMINION_lag24,0.00032776754
57,is_peak,0.00032695092
338,daily_load_factor,0.00032500495
201,OS_UNSCHED_STM_CAP_RTO_lag48,0.00031974685
137,dominion_load_share_forecast,0.0003188239
233,total_unsched_capacity_lag24,0.00031703015
231,unsched_capacity_ratio,0.00031700244
371,price_std336,0.0003116311
264,OS_CALC_RESERVE_AP_change_24h,0.0003103098
360,system_stress_score_lag168,0.00031007646
212,OS_UNSCHED_STM_CAP_DOMINION_lag168,0.0003099125
241,OS_OPERATING_RESERVE_RTO_lag24,0.00030224212
425,PJM_BGE_DACONG_ma7d,0.00029906855
269,OS_CALC_RESERVE_ATSI_change_24h,0.0002982108
169,high_load,0.00029298384
414,PJM_COMED_DACONG_std7d,0.00029241538
256,OS_CALC_RESERVE_AEP_lag24,0.0002904669
308,reserve_imbalance_coefficient,0.0002893838
65,cooling_degrees,0.00028648428
339,total_regional_load,0.00028187383
266,OS_CALC_RESERVE_ATSI_lag24,0.00028136445
246,OS_CALC_RESERVE_RTO_lag24,0.0002809087
192,GAS_TCO_lag7d,0.00027625574
243,OS_OPERATING_RESERVE_RTO_lag168,0.00027578065
197,OS_TOTAL_SCHED_CAP_RTO_lag168,0.00027225478
377,PJM_WESTERN_HUB_DACONG_ma7d,0.00026984056
322,reserve_to_generation_ratio,0.00026936285
276,OS_CALC_RESERVE_DAYTON_lag24,0.0002659607
182,price_dispersion_lag24,0.00026577324
102,PJM_COMED_DA_LMP_LAG24,0.00026276265
215,OS_UNSCHED_STM_CAP_COMED_lag24,0.00026152717
48,dayofyear,0.0002555779
254,OS_CALC_RESERVE_MIDATLANTIC_change_24h,0.0002550573
297,OS_CALC_RESERVE_EKPC_lag48,0.00025502604
134,pseg_load_share_forecast,0.0002549089
113,DA_LMP_WEST_HUB_LAG168,0.00025488873
423,PJM_BGE_DACONG_lag168,0.00025475034
313,COMED_reserve_stress,0.00025340472
10,CLOUD_COVER_Richmond,0.0002506162
222,OS_UNSCHED_STM_CAP_AEP_lag168,0.0002494201
15,DEWPOINT_Dayton,0.00024941834
320,western_reserves_lag24,0.00024786766
44,day,0.00024718937
1,TEMP_F_Chicago_Midway,0.00024689254
420,PJM_PECO_DACONG_std7d,0.00024462666
267,OS_CALC_RESERVE_ATSI_lag48,0.0002445053
216,OS_UNSCHED_STM_CAP_COMED_lag48,0.00024442028
51,month_sin,0.0002413883
13,DEWPOINT_Chicago_Midway,0.00024062516
407,PJM_N_ILLINOIS_HUB_DACONG_ma7d,0.00023833859
271,OS_CALC_RESERVE_COMED_lag24,0.00023794717
378,PJM_WESTERN_HUB_DACONG_std7d,0.00023727152
389,PJM_DOMINION_HUB_DACONG_ma7d,0.00023587815
295,OS_CALC_RESERVE_DUQUESNE_change_pct_24h,0.00023581216
158,miso_pjm_load_ratio,0.0002348806
149,load_imbalance_forecast,0.00023457437
258,OS_CALC_RESERVE_AEP_lag168,0.00023420845
38,PJM_PENELEC_LOAD_FORECAST,0.00023376448
278,OS_CALC_RESERVE_DAYTON_lag168,0.00023225497
156,nyiso_load_lag24,0.00023133094
235,unsched_capacity_std,0.0002311522
307,total_regional_reserves_lag24,0.0002308733
140,peco_load_share_forecast,0.00023007665
324,reserve_stress_score,0.00022862255
300,OS_CALC_RESERVE_EKPC_change_pct_24h,0.00022827991
207,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag168,0.00022718712
304,reserve_percentile_30d,0.00022502283
366,price_ma72,0.00022477692
202,OS_UNSCHED_STM_CAP_RTO_lag168,0.00022476424
248,OS_CALC_RESERVE_RTO_lag168,0.0002236826
123,load_forecast_error_pct,0.0002202812
237,max_unsched_zone_capacity,0.00021984705
263,OS_CALC_RESERVE_AP_lag168,0.0002192145
373,PJM_WESTERN_HUB_DACONG_lag24,0.0002188598
319,eastern_reserves_lag24,0.00021788136
236,unsched_capacity_concentration,0.00021592606
401,PJM_AEP_DAYTON_HUB_DACONG_ma7d,0.00021538047
284,OS_CALC_RESERVE_DEOK_change_24h,0.00021374867
253,OS_CALC_RESERVE_MIDATLANTIC_lag168,0.00021340128
164,load_ramp_rate_1h,0.00021310289
287,OS_CALC_RESERVE_DOMINION_lag48,0.00021255703
42,PJM_HRLY_SOLAR_FCST_BTM,0.00021232764
261,OS_CALC_RESERVE_AP_lag24,0.00021142376
91,PJM_DOMINION_HUB_DA_LMP_LAG48,0.00021057623
255,OS_CALC_RESERVE_MIDATLANTIC_change_pct_24h,0.00020939796
426,PJM_BGE_DACONG_std7d,0.00020893331
310,AEP_reserve_stress,0.00020891483
43,hour,0.00020810112
206,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag48,0.00020797334
95,PJM_PSEG_DA_LMP_LAG168,0.00020734793
198,OS_TOTAL_SCHED_CAP_RTO_wow_change,0.000206374
285,OS_CALC_RESERVE_DEOK_change_pct_24h,0.00020296508
419,PJM_PECO_DACONG_ma7d,0.00020277363
257,OS_CALC_RESERVE_AEP_lag48,0.00020237481
45,month,0.00019916895
242,OS_OPERATING_RESERVE_RTO_lag48,0.0001971692
85,PJM_WESTERN_HUB_DA_LMP_LAG48,0.00019715037
293,OS_CALC_RESERVE_DUQUESNE_lag168,0.00019548912
270,OS_CALC_RESERVE_ATSI_change_pct_24h,0.00019538384
188,GAS_Dom_South_lag7d,0.0001948829
53,day_sin,0.00019400302
274,OS_CALC_RESERVE_COMED_change_24h,0.00019091161
213,OS_UNSCHED_STM_CAP_DOMINION_wow_change,0.00018857929
305,reserve_below_10pct,0.00018762793
238,min_unsched_zone_capacity,0.00018736231
384,PJM_EASTERN_HUB_DACONG_std7d,0.00018682399
219,OS_UNSCHED_STM_CAP_COMED_wow_change_pct,0.00018677082
268,OS_CALC_RESERVE_ATSI_lag168,0.00018406949
46,dayofweek,0.0001830287
73,cloud_cover_avg,0.0001829282
396,PJM_PSEG_DACONG_std7d,0.00018154761
296,OS_CALC_RESERVE_EKPC_lag24,0.00018002461
277,OS_CALC_RESERVE_DAYTON_lag48,0.00017990658
221,OS_UNSCHED_STM_CAP_AEP_lag48,0.00017931992
408,PJM_N_ILLINOIS_HUB_DACONG_std7d,0.0001792672
413,PJM_COMED_DACONG_ma7d,0.00017780194
62,temp_min,0.00017730205
250,OS_CALC_RESERVE_RTO_change_pct_24h,0.00017548616
163,load_ramp_4h,0.00017481337
50,hour_cos,0.00017436326
132,aep_forecast_error,0.00017433254
417,PJM_PECO_DACONG_lag168,0.00017303869
117,solar_gen,0.0001725309
321,east_west_reserve_ratio,0.00017190726
356,net_load_lag168,0.00017082701
294,OS_CALC_RESERVE_DUQUESNE_change_24h,0.00017007603
429,high_congestion_west,0.00016900245
153,western_load_forecast,0.00016894915
369,price_std168,0.00016807741
403,PJM_N_ILLINOIS_HUB_DACONG_lag24,0.00016760519
8,CLOUD_COVER_Baltimore,0.0001671022
186,GAS_Henry_Hub_lag7d,0.00016658384
122,load_forecast_error,0.00016542034
375,PJM_WESTERN_HUB_DACONG_lag168,0.00016401427
107,PJM_PECO_DA_LMP_LAG168,0.00016390848
104,PJM_COMED_DA_LMP_LAG168,0.00016336063
355,net_load_lag24,0.00016205986
11,CLOUD_COVER_Atlanta,0.00016044805
115,west_dom_spread_lag24,0.0001603538
159,miso_load_lag24,0.00015681011
412,PJM_COMED_DACONG_wow_change,0.00015666537
275,OS_CALC_RESERVE_COMED_change_pct_24h,0.00015658609
161,load_ramp_1h,0.00015644205
323,tight_reserve_generation,0.00015559349
109,PJM_BGE_DA_LMP_LAG48,0.00015492499
119,solar_ramp_2h,0.00015310937
402,PJM_AEP_DAYTON_HUB_DACONG_std7d,0.00015302087
393,PJM_PSEG_DACONG_lag168,0.00015276493
365,price_std48,0.00015250397
392,PJM_PSEG_DACONG_lag48,0.00015187106
223,OS_UNSCHED_STM_CAP_AEP_wow_change,0.00015181913
40,MISO_LOAD_FORECAST_DA,0.00014853208
357,solar_gen_lag24,0.00014662146
282,OS_CALC_RESERVE_DEOK_lag48,0.00014582553
218,OS_UNSCHED_STM_CAP_COMED_wow_change,0.00014555355
424,PJM_BGE_DACONG_wow_change,0.00014500068
421,PJM_BGE_DACONG_lag24,0.00014491704
129,comed_forecast_error,0.00014454765
23,PRECIP_Atlanta,0.00014403576
145,bge_forecast_error_lag24,0.00014193976
47,quarter,0.00014050229
87,PJM_EASTERN_HUB_DA_LMP_LAG24,0.00014012869
39,NYISO_LOAD_FORECAST_DA,0.00013987646
154,east_west_load_ratio_forecast,0.00013820945
427,west_congestion_lag24,0.00013735685
431,system_avg_congestion_lag24,0.0001373263
105,PJM_PECO_DA_LMP_LAG24,0.00013363108
380,PJM_EASTERN_HUB_DACONG_lag48,0.00013352392
127,load_forecast_bias_7d,0.00013335941
405,PJM_N_ILLINOIS_HUB_DACONG_lag168,0.00013007122
93,PJM_PSEG_DA_LMP_LAG24,0.00012996125
409,PJM_COMED_DACONG_lag24,0.00012941791
354,price_lag_720h,0.00012916153
103,PJM_COMED_DA_LMP_LAG48,0.00012884689
224,OS_UNSCHED_STM_CAP_AEP_wow_change_pct,0.00012842381
328,high_reserve_volatility,0.00012804095
432,congestion_dispersion_lag24,0.0001271962
74,cloud_cover_lag24,0.00012636727
97,PJM_AEP_DAYTON_HUB_DA_LMP_LAG48,0.00012491096
63,temp_spread,0.00012480354
418,PJM_PECO_DACONG_wow_change,0.00012434428
298,OS_CALC_RESERVE_EKPC_lag168,0.00012425939
387,PJM_DOMINION_HUB_DACONG_lag168,0.00012416876
306,reserve_rapid_decline,0.00012400221
283,OS_CALC_RESERVE_DEOK_lag168,0.00012385915
422,PJM_BGE_DACONG_lag48,0.00012357219
199,OS_TOTAL_SCHED_CAP_RTO_wow_change_pct,0.00012214525
