,feature,importance
181,system_avg_price_lag24,0.21136932
179,western_avg_price_lag24,0.14849444
367,hours_since_spike,0.11272464
344,price_lag_24h,0.10492302
84,PJM_WESTERN_HUB_DA_LMP_LAG24,0.0655019
111,DA_LMP_WEST_HUB_LAG24,0.0637017
56,is_holiday,0.03668047
96,PJM_AEP_DAYTON_HUB_DA_LMP_LAG24,0.028947132
26,GAS_M3,0.018855883
189,GAS_M3_lag1d,0.013528377
29,GAS_Transco_Z6,0.010021742
227,capacity_utilization,0.0069829645
226,capacity_margin,0.0066641867
157,nyiso_load_change_24h,0.006595583
102,PJM_COMED_DA_LMP_LAG24,0.0057986
30,GAS_Transco_Z5,0.005569104
245,OS_OPERATING_RESERVE_RTO_change_pct_24h,0.0055354107
193,GAS_Chicago_Citygate_lag1d,0.0036350794
90,PJM_DOMINION_HUB_DA_LMP_LAG24,0.003252102
64,heating_degrees,0.0027933505
167,load_percentile_24h,0.0026668825
209,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change_pct,0.0026584796
191,GAS_TCO_lag1d,0.0026090457
172,reserve_margin_proxy,0.0025320512
168,load_percentile_168h,0.0024572974
28,GAS_Chicago_Citygate,0.0024565514
25,GAS_Dom_South,0.0023346464
325,stress_level_low,0.0022007984
27,GAS_TCO,0.0021551016
326,stress_level_medium,0.0021102678
294,OS_CALC_RESERVE_EKPC_change_24h,0.0020382984
108,PJM_BGE_DA_LMP_LAG24,0.0019444996
12,DEWPOINT_Washington_DC,0.0019223026
171,load_vs_historical_peak,0.0018850291
244,OS_OPERATING_RESERVE_RTO_change_24h,0.0018598685
204,OS_UNSCHED_STM_CAP_RTO_wow_change_pct,0.0018598635
203,OS_UNSCHED_STM_CAP_RTO_wow_change,0.0018316742
185,GAS_Henry_Hub_lag1d,0.0017153842
347,price_lag_168h,0.0016519794
35,PJM_DOMINION_LOAD_FORECAST,0.0015306455
160,miso_load_change_24h,0.0015257034
339,week_of_year,0.0015183089
150,max_zonal_load_forecast,0.0014415396
214,OS_UNSCHED_STM_CAP_DOMINION_wow_change_pct,0.0013956755
324,system_stress_score,0.0013841968
37,PJM_BGE_LOAD_FORECAST,0.0012251032
0,TEMP_F_Washington_DC,0.0010302922
175,net_load,0.00097276736
254,OS_CALC_RESERVE_AEP_change_24h,0.0009670798
296,reserve_margin_pct,0.00094940275
363,price_ma168,0.0009408312
24,GAS_Henry_Hub,0.0009187548
187,GAS_Dom_South_lag1d,0.0009154621
165,morning_ramp,0.00090215344
92,PJM_DOMINION_HUB_DA_LMP_LAG168,0.0008998291
333,daily_load_factor,0.00088024605
48,dayofyear,0.000873182
213,OS_UNSCHED_STM_CAP_DOMINION_wow_change,0.00086873065
311,DOMINION_reserve_stress,0.00082176994
200,OS_UNSCHED_STM_CAP_RTO_lag24,0.00081668136
303,reserve_imbalance_coefficient,0.0007374062
110,PJM_BGE_DA_LMP_LAG168,0.0007291613
2,TEMP_F_Baltimore,0.00071864726
170,low_load,0.00071052706
16,DEWPOINT_Richmond,0.0007047116
14,DEWPOINT_Baltimore,0.0006931473
284,OS_CALC_RESERVE_DOMINION_change_24h,0.00067926635
236,unsched_capacity_concentration,0.00066299195
275,OS_CALC_RESERVE_DAYTON_change_pct_24h,0.00066033757
186,GAS_Henry_Hub_lag7d,0.0006518256
69,temp_change_24h,0.0006453069
61,temp_max,0.00064439257
76,dewpoint_avg_c,0.0006242355
77,dewpoint_avg_f,0.0006198396
5,TEMP_F_Atlanta,0.0006191847
266,OS_CALC_RESERVE_COMED_lag24,0.0006078762
346,price_lag_72h,0.00060693995
31,PJM_RTO_LOAD_FORECAST_DA,0.00060104363
33,PJM_AEP_LOAD_FORECAST,0.0005976981
194,GAS_Chicago_Citygate_lag7d,0.00058946107
274,OS_CALC_RESERVE_DAYTON_change_24h,0.00057008833
86,PJM_WESTERN_HUB_DA_LMP_LAG168,0.0005567096
4,TEMP_F_Richmond,0.0005491854
336,temp_load_interaction,0.00054542016
196,OS_TOTAL_SCHED_CAP_RTO_lag48,0.0005421307
177,net_load_ramp_3h,0.00053991727
45,month,0.0005288867
343,near_holiday,0.0005261648
331,load_vs_daily_peak,0.00052112254
257,OS_CALC_RESERVE_AP_lag48,0.0005178835
75,cloudy_day,0.0005080247
104,PJM_COMED_DA_LMP_LAG168,0.0005043119
38,PJM_PENELEC_LOAD_FORECAST,0.00050013926
210,OS_UNSCHED_STM_CAP_DOMINION_lag24,0.0004977331
234,regional_unsched_total_lag24,0.0004876586
385,PJM_DOMINION_HUB_DACONG_std7d,0.00048348244
98,PJM_AEP_DAYTON_HUB_DA_LMP_LAG168,0.00048168254
220,OS_UNSCHED_STM_CAP_AEP_lag24,0.00047446182
208,OS_UNSCHED_STM_CAP_MIDATLANTIC_wow_change,0.000474324
348,price_lag_336h,0.0004716899
65,cooling_degrees,0.00046829693
342,days_to_holiday,0.00046314768
60,temp_avg,0.00045975528
162,load_ramp_2h,0.00045230452
51,month_sin,0.00043296267
255,OS_CALC_RESERVE_AEP_change_pct_24h,0.00042930132
195,OS_TOTAL_SCHED_CAP_RTO_lag24,0.00041900657
280,OS_CALC_RESERVE_DEOK_change_pct_24h,0.00041590427
211,OS_UNSCHED_STM_CAP_DOMINION_lag48,0.0003952803
201,OS_UNSCHED_STM_CAP_RTO_lag48,0.00039303748
361,price_ma72,0.00038668833
72,heating_degrees_lag24,0.00038336834
174,total_renewable,0.00038227142
283,OS_CALC_RESERVE_DOMINION_lag168,0.00038106315
237,max_unsched_zone_capacity,0.0003776966
225,total_available_capacity_lag24,0.0003764564
205,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag24,0.00036916783
354,system_stress_score_lag24,0.00036549903
239,capacity_stress_score,0.00035939596
285,OS_CALC_RESERVE_DOMINION_change_pct_24h,0.00035783893
113,DA_LMP_WEST_HUB_LAG168,0.00035730095
269,OS_CALC_RESERVE_COMED_change_24h,0.0003548168
402,PJM_N_ILLINOIS_HUB_DACONG_ma7d,0.0003531225
17,DEWPOINT_Atlanta,0.00034511526
190,GAS_M3_lag7d,0.0003431805
302,total_regional_reserves_lag24,0.00033676435
197,OS_TOTAL_SCHED_CAP_RTO_lag168,0.0003345911
151,min_zonal_load_forecast,0.00033243242
335,regional_load_concentration,0.0003281574
241,OS_OPERATING_RESERVE_RTO_lag24,0.00032058294
127,load_forecast_bias_7d,0.00031775088
276,OS_CALC_RESERVE_DEOK_lag24,0.0003149504
224,OS_UNSCHED_STM_CAP_AEP_wow_change_pct,0.00031480167
95,PJM_PSEG_DA_LMP_LAG168,0.0003121919
231,unsched_capacity_ratio,0.00031168133
262,OS_CALC_RESERVE_ATSI_lag48,0.0003100939
264,OS_CALC_RESERVE_ATSI_change_24h,0.0003086245
128,comed_load_share_forecast,0.00030481693
345,price_lag_48h,0.00030284916
3,TEMP_F_Dayton,0.00029497241
403,PJM_N_ILLINOIS_HUB_DACONG_std7d,0.00028396025
49,hour_sin,0.00028080746
365,price_ma336,0.00027636986
251,OS_CALC_RESERVE_AEP_lag24,0.00027264212
242,OS_OPERATING_RESERVE_RTO_lag48,0.00027173525
409,PJM_COMED_DACONG_std7d,0.00027079572
366,price_std336,0.0002701945
420,PJM_BGE_DACONG_ma7d,0.00026970214
54,day_cos,0.00026711597
101,PJM_N_ILLINOIS_HUB_DA_LMP_LAG168,0.0002592867
384,PJM_DOMINION_HUB_DACONG_ma7d,0.00025903617
222,OS_UNSCHED_STM_CAP_AEP_lag168,0.00025873218
259,OS_CALC_RESERVE_AP_change_24h,0.0002556489
1,TEMP_F_Chicago_Midway,0.00025538556
53,day_sin,0.0002547716
372,PJM_WESTERN_HUB_DACONG_ma7d,0.00025221638
397,PJM_AEP_DAYTON_HUB_DACONG_std7d,0.00024962536
59,is_winter,0.0002485619
233,total_unsched_capacity_lag24,0.00024707726
125,load_forecast_error_lag24,0.00024655074
295,OS_CALC_RESERVE_EKPC_change_pct_24h,0.00024579428
273,OS_CALC_RESERVE_DAYTON_lag168,0.00024484505
247,OS_CALC_RESERVE_MIDATLANTIC_lag48,0.00024456842
221,OS_UNSCHED_STM_CAP_AEP_lag48,0.0002441121
281,OS_CALC_RESERVE_DOMINION_lag24,0.0002437763
306,AP_reserve_stress,0.00024092676
188,GAS_Dom_South_lag7d,0.00024010905
107,PJM_PECO_DA_LMP_LAG168,0.00023928579
351,net_load_lag168,0.00023928074
73,cloud_cover_avg,0.00023920223
408,PJM_COMED_DACONG_ma7d,0.00023797684
250,OS_CALC_RESERVE_MIDATLANTIC_change_pct_24h,0.00023099162
